ville,x,y
orleans,1.911367,47.873517
paris,2.3752,48.845
calais,1.867939,50.948847
lille,3.04584,50.630206
nancy,6.171389,48.688152
strasbourg,7.761454,48.571428
besancon,6.03091,47.25555
dijon,5.034971,47.334839
lyon,4.8236,45.7685
grenoble,5.71728,45.183471
nice,7.253866,43.712855
marseille,5.3722,43.2545
montpellier,3.873083,43.611665
toulouse,1.433106,43.600568
pau,-0.34405,43.314761
bordeaux,-0.587876,44.853383
limoges,1.231796,45.858025
nantes,-1.552891,47.238046
brest,-4.498893,48.406102
rennes,-1.685963,48.112191
caen,-0.371816,49.184417
