ville,x,y
paris,2.3752,48.845
marseille,5.3722,43.2545
lyon,4.8236,45.7685
toulouse,1.433106,43.600568
nice,7.253866,43.712855
nantes,-1.552891,47.238046
montpellier,3.873083,43.611665
strasbourg,7.761454,48.571428
bordeaux,-0.587876,44.853383
lille,3.04584,50.630206
rennes,-1.686057,48.112191
reims,4.056098,49.254858
saint-etienne,4.369561,45.430905
le-havre,0.130359,49.502856
toulon,5.933602,43.136247
grenoble,5.71728,45.183471
dijon,5.034971,47.334839
angers,-0.562748,47.468087
nimes,4.343556,43.825875
villeurbanne,4.890035,45.768961
aix-en-provence,5.407348,43.54483
le-mans,0.193757,47.989924
clermond-ferrant,3.110069,45.786833
brest,-4.498893,48.406102
tours,0.698676,47.394934
amiens,2.289549,49.903551
limoges,1.231796,45.858025
annecy,6.1203,45.901548
perpignan,2.902939,42.699556
boulogne-billancourt,2.242525,48.837907
metz,6.195982,49.108386
besancon,6.03091,47.25555
orleans,1.911367,47.873517
argenteuil,2.248098,48.948578
rouen,1.091805,49.440338
mulhouse,7.326994,47.751678
montreuil,2.448955,48.863776
caen,-0.371816,49.184417
nancy,6.171389,48.688152
tourcoing,3.157819,50.720775
roubaix,3.183621,50.688471
nanterre,2.202423,48.896907
vitry-sur-seine,2.394428,48.789276
avignon,4.841454,43.938105
creteil,2.45291,48.784516
dunkerque,2.342665,51.027342
poitiers,0.370414,46.586578
aubervilliers,2.386579,48.91282
asnieres-sur-seine,2.292975,48.918145
colombes,2.24547,48.91999
versailles,2.118055,48.80269
aulnay-sous-bois,2.495219,48.944147
courbevoie,2.257066,48.897998
cherbourg-en-cotentin,-1.634082,49.632634
rueil-malmaison,2.180528,48.871865
champigny-sur-marne,2.521265,48.81724
pau,-0.34405,43.314761
beziers,3.234367,43.347086
la-rochelle,-1.177111,46.157644
calais,1.867939,50.948847
saint-maur-des-fosses,2.491834,48.799943
antibes,7.10307,43.58209
cannes,7.003457,43.555179
merignac,-0.679626,44.832437
drancy,2.444645,48.925003
colmar,7.356972,48.085555
saint-nazaire,-2.243465,47.27486
issy-les-moulineaux,2.26287,48.8239
evry-courcouronnes,2.429285,48.628394
noisy-le-grand,2.551784,48.840106
bourges,2.402057,47.082479
venissieux,4.882003,45.707825
la-seyne-sur-mer,5.878914,43.092361
cergy,2.047162,49.039
levallois-perret,2.286846,48.894313
quimper,-4.09364,47.999079
valence,4.920653,44.923702
villeneuve-d-ascq,3.15644,50.636126
antony,2.297814,48.750835
pessac,-0.67666,44.785996
clichy,2.304944,48.904017
ivry-sur-seine,2.386797,48.8101
troyes,4.075129,48.292802
neuilly-sur-seine,2.265684,48.886117
montauban,1.365479,44.022237
chambery,5.907417,45.583822
niort,-0.469063,46.328659
sarcelles,2.383779,48.991984
lorient,-3.379566,47.750668
beauvais,2.086084,49.439532
le-blanc-mesnil,2.45663,48.936904
hyeres,6.261496,43.10068
epinay-sur-seine,2.31712,48.954913
villejuif,2.361071,48.793468
pantin,2.408514,48.900574
maisons-alfort,2.439657,48.801617
saint-quentin,3.285957,49.848857
meau,2.902793,48.95732
chelles,2.598313,48.886622
la-roche-sur-yon,-1.413319,46.673263
cholet,-0.875249,47.034773
narbonne,3.034085,43.172093
fontenay-sous-bois,2.473599,48.850004
vannes,-2.746,47.660026
bondy,2.48526,48.903726
frejus,6.79138,43.446677
arles,4.616571,43.574796
satrouville,2.174718,48.937841
clamart,2.25206,48.796418
bobigny,2.443342,48.906702
corbeil-essone,2.462862,48.596644
sevran,2.531062,48.937972
bayonne,-1.462185,43.486661
grasse,6.941977,43.656006
massy,2.269655,48.728461
cagnes-sur-mer,7.150013,43.675461
vincennes,2.437785,48.847279
saint-ouen-sur-seine,2.333341,48.911779
laval,-0.769604,48.061453
montrouge,2.316214,48.815929
albi,2.150212,43.93114
belfort,6.853884,47.641105
evreux,1.147024,49.020682
martigues,5.047643,43.381433
suresnes,2.218096,48.870922
vaulx-en-velvin,4.9237,45.768876
brive-la-gaillarde,1.518385,45.147511
charleville-mezieres,4.720554,49.768191
gennevilliers,2.2879,48.93113
saint-herblain,-1.627751,47.225633
saint-malo,-2.005481,48.64269
carcassonne,2.344538,43.207511
saint-priest,4.945603,45.702095
blois,1.312396,47.580971
salon-de-provence,5.047017,43.64147
chalon-sur-saone,4.84916,46.791467
rosny-sous-bois,2.487277,48.873861
meudon,2.232383,48.802937
aubagne,5.564286,43.2908
saint-brieuc,-2.764535,48.507886
noisy-le-sec,2.457204,48.891813
puteaux,2.237177,48.883689
livry-gargan,2.533358,48.918103
choisy-le-roi,2.414587,48.763603
chateauroux,1.693215,46.804224
saint-germain-en-laye,2.107382,48.932569
mantes-la-jolie,1.695643,48.994782
alfortville,2.421504,48.796239
valanciennes,3.509748,50.358173
sete,3.669946,43.395424
les-sables-d-olonne,-1.759037,46.526334
istres,4.952306,43.544272
caluire-et-cuire,4.848947,45.797718
talence,-0.591902,44.806014
garges-les-gonesse,2.400492,48.969917
la-courneuve,2.398032,48.931262
angouleme,0.148189,45.643488
boulogne-sur-mer,1.607846,50.728573
le-cannet,7.000955,43.574058
bourg-en-bresse,5.242245,46.203106
wattrelos,3.216488,50.713
castres,2.240019,43.612011
thionville,6.14724,49.367931
bron,4.910849,45.735409
arras,2.767975,50.287956
gap,6.076469,44.562221
reze,-1.553356,47.173039
tarbes,0.065167,43.241056
compiegne,2.851236,49.407528
melun,2.655358,48.540835
draguignan,6.462122,43.53146
ales,4.089288,44.12511
bagneux,2.310181,48.797934
stains,2.382012,48.958272
marcq-en-baroeul,3.100562,50.677583
gagny,2.544998,48.882668
chartres,1.50246,48.446181
anglet,-1.519023,43.488592
coulomiers,3.091067,48.814282
montelimar,4.745821,44.55534
saint-martin-d-heres,5.762904,45.179712
pontault-combault,2.609169,48.793406
villefranche-sur-saone,4.72526,45.9862
poissy,2.028016,48.926707
chatillon,2.288844,48.803355
villepinte,2.532617,48.956872
savigny-sur-orge,2.349213,48.685402
montlucon,2.605004,46.342826
franconville,2.224145,48.988628
bagnolet,2.425216,48.867338
sainte-genevieve-des-bois,2.327655,48.639041
echirolles,5.714426,45.145984
creil,2.478556,49.257322
tremblay-en-france,2.548346,48.973819
conflans-sainte-honorine,2.099679,49.002101
la-ciotat,5.624026,43.189632
saint-chamond,4.504239,45.470191
saint-raphael,6.847816,43.445231
thonon-les-bains,6.487235,46.375951
annemasse,6.243917,46.189611
